customer_id,sum_Profit,Min_Recency,count_product_id,R_score,F_score,M_score,RFM_Score,Customer Title
37,6338.49,7 days 00:00:00.000000000,9,4,4,4,444,Platinum
38,2025.3400000000001,50 days 00:00:00.000000000,4,2,1,2,212,Silver
39,6085.170000000001,34 days 00:00:00.000000000,12,3,4,4,344,Gold
40,3272.7,14 days 00:00:00.000000000,5,4,2,3,423,Platinum
41,4698.89,29 days 00:00:00.000000000,9,3,4,4,344,Gold
42,427.04,111 days 00:00:00.000000000,4,1,1,0,110,Bronze
43,3619.95,61 days 00:00:00.000000000,9,2,4,3,243,Silver
44,4768.28,35 days 00:00:00.000000000,7,3,3,4,334,Gold
45,1048.1499999999999,43 days 00:00:00.000000000,3,3,1,0,310,Silver
47,4332.19,35 days 00:00:00.000000000,7,3,3,4,334,Gold
48,5561.08,82 days 00:00:00.000000000,8,2,4,4,244,Silver
49,2636.4300000000003,36 days 00:00:00.000000000,4,3,1,2,312,Gold
50,4153.41,26 days 00:00:00.000000000,7,3,3,4,334,Gold
51,4855.400000000001,55 days 00:00:00.000000000,8,2,4,4,244,Silver
53,2950.0699999999997,7 days 00:00:00.000000000,5,4,2,3,423,Platinum
54,4098.21,67 days 00:00:00.000000000,7,2,3,3,233,Silver
55,3220.86,46 days 00:00:00.000000000,8,2,4,3,243,Silver
56,1275.2399999999998,2 days 00:00:00.000000000,7,4,3,0,430,Platinum
57,5117.960000000001,35 days 00:00:00.000000000,6,3,3,4,334,Gold
58,3501.37,20 days 00:00:00.000000000,8,3,4,3,343,Gold
59,2628.37,22 days 00:00:00.000000000,3,3,1,2,312,Gold
61,4254.24,47 days 00:00:00.000000000,6,2,3,4,234,Silver
63,2190.05,68 days 00:00:00.000000000,3,2,1,2,212,Silver
64,546.6799999999997,3 days 00:00:00.000000000,5,4,2,0,420,Platinum
65,3799.9699999999993,136 days 00:00:00.000000000,5,1,2,3,123,Bronze
66,4549.200000000001,43 days 00:00:00.000000000,5,3,2,4,324,Gold
67,1203.29,116 days 00:00:00.000000000,5,1,2,0,120,Bronze
68,3842.5599999999995,84 days 00:00:00.000000000,3,2,1,3,213,Silver
69,5294.75,20 days 00:00:00.000000000,6,3,3,4,334,Gold
70,2736.9,4 days 00:00:00.000000000,5,4,2,2,422,Platinum
71,155.6500000000001,131 days 00:00:00.000000000,1,1,1,0,110,Bronze
72,2559.7799999999997,22 days 00:00:00.000000000,4,3,1,2,312,Gold
73,2316.51,168 days 00:00:00.000000000,6,1,3,2,132,Bronze
75,4979.94,60 days 00:00:00.000000000,8,2,4,4,244,Silver
76,2868.16,1 days 00:00:00.000000000,8,4,4,3,443,Platinum
77,1657.5800000000002,101 days 00:00:00.000000000,3,1,1,0,110,Bronze
78,82.25999999999999,211 days 00:00:00.000000000,2,1,1,0,110,Bronze
79,1860.29,47 days 00:00:00.000000000,5,2,2,2,222,Silver
80,5988.860000000001,28 days 00:00:00.000000000,10,3,4,4,344,Gold
82,2924.37,78 days 00:00:00.000000000,5,2,2,3,223,Silver
83,1798.2,80 days 00:00:00.000000000,6,2,3,0,230,Silver
84,2295.2200000000003,28 days 00:00:00.000000000,7,3,3,2,332,Gold
85,563.37,37 days 00:00:00.000000000,6,3,3,0,330,Gold
86,2360.0899999999992,0 days 00:00:00.000000000,9,4,4,2,442,Platinum
87,3740.7599999999993,18 days 00:00:00.000000000,9,4,4,3,443,Platinum
88,2534.33,74 days 00:00:00.000000000,6,2,3,2,232,Silver
89,5779.65,4 days 00:00:00.000000000,9,4,4,4,444,Platinum
90,2990.73,30 days 00:00:00.000000000,7,3,3,3,333,Gold
91,5242.410000000001,9 days 00:00:00.000000000,8,4,4,4,444,Platinum
92,2967.4399999999996,34 days 00:00:00.000000000,3,3,1,3,313,Gold
93,2976.41,79 days 00:00:00.000000000,3,2,1,3,213,Silver
94,4902.210000000001,33 days 00:00:00.000000000,7,3,3,4,334,Gold
95,3050.8099999999995,38 days 00:00:00.000000000,4,3,1,3,313,Gold
96,1135.25,70 days 00:00:00.000000000,3,2,1,0,210,Bronze
97,4911.210000000001,102 days 00:00:00.000000000,8,1,4,4,144,Bronze
98,1620.7500000000002,141 days 00:00:00.000000000,4,1,1,0,110,Bronze
99,4557.65,2 days 00:00:00.000000000,9,4,4,4,444,Platinum
100,877.4,11 days 00:00:00.000000000,2,4,1,0,410,Gold
101,2589.89,8 days 00:00:00.000000000,4,4,1,2,412,Platinum
102,2587.0099999999998,42 days 00:00:00.000000000,7,3,3,2,332,Gold
103,895.4499999999999,116 days 00:00:00.000000000,4,1,1,0,110,Bronze
104,3112.8000000000006,64 days 00:00:00.000000000,7,2,3,3,233,Silver
105,3475.04,89 days 00:00:00.000000000,4,1,1,3,113,Bronze
106,2513.69,1 days 00:00:00.000000000,3,4,1,2,412,Platinum
107,2343.9700000000003,81 days 00:00:00.000000000,4,2,1,2,212,Silver
109,4430.660000000001,8 days 00:00:00.000000000,10,4,4,4,444,Platinum
111,3014.5299999999997,147 days 00:00:00.000000000,4,1,1,3,113,Bronze
112,5742.1900000000005,47 days 00:00:00.000000000,6,2,3,4,234,Silver
113,2329.49,175 days 00:00:00.000000000,6,1,3,2,132,Bronze
114,2195.26,70 days 00:00:00.000000000,4,2,1,2,212,Silver
115,3135.87,14 days 00:00:00.000000000,8,4,4,3,443,Platinum
116,2447.5400000000004,12 days 00:00:00.000000000,8,4,4,2,442,Platinum
117,6917.34,5 days 00:00:00.000000000,10,4,4,4,444,Platinum
118,3550.1,69 days 00:00:00.000000000,5,2,2,3,223,Silver
119,4217.24,30 days 00:00:00.000000000,4,3,1,4,314,Gold
120,869.3200000000003,129 days 00:00:00.000000000,2,1,1,0,110,Bronze
121,2892.09,111 days 00:00:00.000000000,4,1,1,3,113,Bronze
122,2695.2200000000003,8 days 00:00:00.000000000,5,4,2,2,422,Platinum
123,3245.75,191 days 00:00:00.000000000,4,1,1,3,113,Bronze
124,4054.25,2 days 00:00:00.000000000,7,4,3,3,433,Platinum
125,3345.01,83 days 00:00:00.000000000,10,2,4,3,243,Silver
126,1096.46,11 days 00:00:00.000000000,3,4,1,0,410,Gold
127,3993.710000000001,23 days 00:00:00.000000000,10,3,4,3,343,Gold
128,2193.06,137 days 00:00:00.000000000,4,1,1,2,112,Bronze
129,2753.7499999999995,178 days 00:00:00.000000000,4,1,1,2,112,Bronze
130,1779.58,76 days 00:00:00.000000000,2,2,1,0,210,Bronze
131,5494.910000000001,205 days 00:00:00.000000000,6,1,3,4,134,Bronze
132,2780.7200000000003,7 days 00:00:00.000000000,6,4,3,2,432,Platinum
133,803.8900000000001,26 days 00:00:00.000000000,5,3,2,0,320,Gold
134,2946.42,14 days 00:00:00.000000000,6,4,3,3,433,Platinum
135,4549.5,115 days 00:00:00.000000000,7,1,3,4,134,Bronze
136,3543.2000000000003,20 days 00:00:00.000000000,8,3,4,3,343,Gold
137,1496.4499999999998,27 days 00:00:00.000000000,5,3,2,0,320,Gold
138,3377.12,64 days 00:00:00.000000000,7,2,3,3,233,Silver
139,5161.44,26 days 00:00:00.000000000,9,3,4,4,344,Gold
140,2699.9000000000005,3 days 00:00:00.000000000,6,4,3,2,432,Platinum
141,2138.3500000000004,159 days 00:00:00.000000000,3,1,1,2,112,Bronze
142,3917.3399999999997,4 days 00:00:00.000000000,11,4,4,3,443,Platinum
143,2474.77,13 days 00:00:00.000000000,4,4,1,2,412,Platinum
145,3140.2999999999997,28 days 00:00:00.000000000,7,3,3,3,333,Gold
146,217.05999999999995,194 days 00:00:00.000000000,2,1,1,0,110,Bronze
147,5034.16,34 days 00:00:00.000000000,6,3,3,4,334,Gold
148,3268.4,43 days 00:00:00.000000000,5,3,2,3,323,Gold
149,1680.6599999999999,18 days 00:00:00.000000000,4,4,1,0,410,Gold
150,2446.51,75 days 00:00:00.000000000,4,2,1,2,212,Silver
151,5665.41,0 days 00:00:00.000000000,7,4,3,4,434,Platinum
152,1966.88,158 days 00:00:00.000000000,2,1,1,2,112,Bronze
153,5522.509999999999,64 days 00:00:00.000000000,7,2,3,4,234,Silver
154,683.6300000000001,23 days 00:00:00.000000000,5,3,2,0,320,Gold
155,1088.42,8 days 00:00:00.000000000,3,4,1,0,410,Gold
156,3095.3699999999994,16 days 00:00:00.000000000,5,4,2,3,423,Platinum
157,294.0099999999999,135 days 00:00:00.000000000,3,1,1,0,110,Bronze
158,4627.349999999999,65 days 00:00:00.000000000,6,2,3,4,234,Silver
159,2935.3700000000003,66 days 00:00:00.000000000,6,2,3,3,233,Silver
160,2614.1600000000003,93 days 00:00:00.000000000,2,1,1,2,112,Bronze
162,1329.61,98 days 00:00:00.000000000,3,1,1,0,110,Bronze
163,1101.28,114 days 00:00:00.000000000,2,1,1,0,110,Bronze
164,786.1400000000001,198 days 00:00:00.000000000,3,1,1,0,110,Bronze
165,6107.040000000001,8 days 00:00:00.000000000,8,4,4,4,444,Platinum
166,4063.6599999999994,63 days 00:00:00.000000000,7,2,3,3,233,Silver
169,696.26,61 days 00:00:00.000000000,3,2,1,0,210,Bronze
170,1779.68,234 days 00:00:00.000000000,3,1,1,0,110,Bronze
171,4833.14,18 days 00:00:00.000000000,8,4,4,4,444,Platinum
172,2348.66,11 days 00:00:00.000000000,7,4,3,2,432,Platinum
173,6549.51,15 days 00:00:00.000000000,9,4,4,4,444,Platinum
174,7628.24,11 days 00:00:00.000000000,10,4,4,4,444,Platinum
175,2170.54,64 days 00:00:00.000000000,5,2,2,2,222,Silver
176,3025.56,22 days 00:00:00.000000000,4,3,1,3,313,Gold
177,4108.599999999999,37 days 00:00:00.000000000,12,3,4,3,343,Gold
179,1814.59,40 days 00:00:00.000000000,3,3,1,2,312,Gold
180,4065.3500000000004,11 days 00:00:00.000000000,7,4,3,3,433,Platinum
181,2365.24,50 days 00:00:00.000000000,5,2,2,2,222,Silver
182,5409.120000000001,13 days 00:00:00.000000000,7,4,3,4,434,Platinum
183,3187.8399999999997,102 days 00:00:00.000000000,6,1,3,3,133,Bronze
184,2181.3500000000004,32 days 00:00:00.000000000,3,3,1,2,312,Gold
186,2166.1699999999996,23 days 00:00:00.000000000,6,3,3,2,332,Gold
187,3014.8799999999997,14 days 00:00:00.000000000,7,4,3,3,433,Platinum
188,2658.8700000000003,15 days 00:00:00.000000000,6,4,3,2,432,Platinum
189,5329.98,3 days 00:00:00.000000000,5,4,2,4,424,Platinum
190,704.2800000000002,29 days 00:00:00.000000000,4,3,1,0,310,Silver
191,834.9399999999999,105 days 00:00:00.000000000,1,1,1,0,110,Bronze
192,1519.4700000000003,79 days 00:00:00.000000000,4,2,1,0,210,Bronze
193,2551.5,24 days 00:00:00.000000000,5,3,2,2,322,Gold
194,2608.2800000000007,108 days 00:00:00.000000000,3,1,1,2,112,Bronze
195,9633.41,0 days 00:00:00.000000000,7,4,3,4,434,Platinum
196,3737.9999999999995,146 days 00:00:00.000000000,8,1,4,3,143,Bronze
198,6631.870000000001,58 days 00:00:00.000000000,9,2,4,4,244,Silver
199,2650.53,15 days 00:00:00.000000000,4,4,1,2,412,Platinum
200,7283.86,7 days 00:00:00.000000000,9,4,4,4,444,Platinum
201,4369.0199999999995,28 days 00:00:00.000000000,8,3,4,4,344,Gold
202,1295.9100000000003,18 days 00:00:00.000000000,3,4,1,0,410,Gold
203,1481.1200000000001,11 days 00:00:00.000000000,5,4,2,0,420,Platinum
204,6287.290000000001,27 days 00:00:00.000000000,8,3,4,4,344,Gold
205,2008.2699999999998,52 days 00:00:00.000000000,9,2,4,2,242,Silver
206,3816.6499999999996,77 days 00:00:00.000000000,4,2,1,3,213,Silver
208,3342.02,27 days 00:00:00.000000000,5,3,2,3,323,Gold
209,3081.0700000000006,107 days 00:00:00.000000000,5,1,2,3,123,Bronze
210,2957.03,22 days 00:00:00.000000000,6,3,3,3,333,Gold
211,4090.0499999999997,39 days 00:00:00.000000000,9,3,4,3,343,Gold
212,1790.41,187 days 00:00:00.000000000,2,1,1,0,110,Bronze
213,7534.48,28 days 00:00:00.000000000,10,3,4,4,344,Gold
214,1595.7299999999998,56 days 00:00:00.000000000,5,2,2,0,220,Silver
215,3889.3900000000003,3 days 00:00:00.000000000,8,4,4,3,443,Platinum
216,2152.05,16 days 00:00:00.000000000,4,4,1,2,412,Platinum
218,1476.1699999999998,14 days 00:00:00.000000000,4,4,1,0,410,Gold
219,1688.3300000000002,40 days 00:00:00.000000000,6,3,3,0,330,Gold
220,4304.11,15 days 00:00:00.000000000,6,4,3,4,434,Platinum
221,3865.6800000000003,18 days 00:00:00.000000000,6,4,3,3,433,Platinum
222,1428.06,20 days 00:00:00.000000000,2,3,1,0,310,Silver
223,4082.09,52 days 00:00:00.000000000,6,2,3,3,233,Silver
224,3692.09,1 days 00:00:00.000000000,6,4,3,3,433,Platinum
225,1587.5500000000002,37 days 00:00:00.000000000,3,3,1,0,310,Silver
226,1173.8600000000001,116 days 00:00:00.000000000,2,1,1,0,110,Bronze
227,3906.03,26 days 00:00:00.000000000,5,3,2,3,323,Gold
228,3719.75,77 days 00:00:00.000000000,5,2,2,3,223,Silver
230,5319.63,36 days 00:00:00.000000000,11,3,4,4,344,Gold
231,2344.5200000000004,45 days 00:00:00.000000000,4,3,1,2,312,Gold
232,3157.59,141 days 00:00:00.000000000,6,1,3,3,133,Bronze
233,2187.09,17 days 00:00:00.000000000,6,4,3,2,432,Platinum
234,5763.129999999999,11 days 00:00:00.000000000,9,4,4,4,444,Platinum
235,4685.820000000001,2 days 00:00:00.000000000,11,4,4,4,444,Platinum
236,2434.64,6 days 00:00:00.000000000,4,4,1,2,412,Platinum
237,3635.04,26 days 00:00:00.000000000,8,3,4,3,343,Gold
238,3112.57,107 days 00:00:00.000000000,5,1,2,3,123,Bronze
239,5928.23,1 days 00:00:00.000000000,9,4,4,4,444,Platinum
240,2338.21,88 days 00:00:00.000000000,6,2,3,2,232,Silver
241,1922.8199999999997,47 days 00:00:00.000000000,4,2,1,2,212,Silver
242,2558.7,131 days 00:00:00.000000000,7,1,3,2,132,Bronze
243,2193.55,74 days 00:00:00.000000000,5,2,2,2,222,Silver
245,2213.0199999999995,12 days 00:00:00.000000000,5,4,2,2,422,Platinum
246,3174.16,27 days 00:00:00.000000000,9,3,4,3,343,Gold
247,4913.16,112 days 00:00:00.000000000,7,1,3,4,134,Bronze
248,3193.3199999999997,134 days 00:00:00.000000000,7,1,3,3,133,Bronze
249,2236.1299999999997,47 days 00:00:00.000000000,9,2,4,2,242,Silver
250,2963.2300000000005,31 days 00:00:00.000000000,6,3,3,3,333,Gold
251,1210.0,38 days 00:00:00.000000000,4,3,1,0,310,Silver
252,2597.6400000000003,62 days 00:00:00.000000000,5,2,2,2,222,Silver
253,1191.29,17 days 00:00:00.000000000,5,4,2,0,420,Platinum
254,6780.950000000001,41 days 00:00:00.000000000,7,3,3,4,334,Gold
255,6813.820000000001,57 days 00:00:00.000000000,11,2,4,4,244,Silver
256,1728.6599999999999,0 days 00:00:00.000000000,5,4,2,0,420,Platinum
257,3650.53,92 days 00:00:00.000000000,5,1,2,3,123,Bronze
258,1642.58,18 days 00:00:00.000000000,5,4,2,0,420,Platinum
259,2124.65,27 days 00:00:00.000000000,4,3,1,2,312,Gold
260,3381.4100000000003,8 days 00:00:00.000000000,9,4,4,3,443,Platinum
261,4033.1499999999996,50 days 00:00:00.000000000,9,2,4,3,243,Silver
263,3476.94,46 days 00:00:00.000000000,7,2,3,3,233,Silver
264,1025.2999999999997,48 days 00:00:00.000000000,4,2,1,0,210,Bronze
265,2692.9100000000003,79 days 00:00:00.000000000,4,2,1,2,212,Silver
266,1742.83,32 days 00:00:00.000000000,4,3,1,0,310,Silver
268,2713.19,69 days 00:00:00.000000000,4,2,1,2,212,Silver
269,1668.85,168 days 00:00:00.000000000,5,1,2,0,120,Bronze
270,4625.21,7 days 00:00:00.000000000,7,4,3,4,434,Platinum
271,1026.2700000000002,202 days 00:00:00.000000000,2,1,1,0,110,Bronze
272,3842.0699999999997,91 days 00:00:00.000000000,7,1,3,3,133,Bronze
273,6519.239999999999,28 days 00:00:00.000000000,10,3,4,4,344,Gold
274,790.0600000000002,149 days 00:00:00.000000000,4,1,1,0,110,Bronze
275,4126.6,132 days 00:00:00.000000000,6,1,3,4,134,Bronze
277,1757.29,21 days 00:00:00.000000000,3,3,1,0,310,Silver
278,827.1599999999999,248 days 00:00:00.000000000,1,1,1,0,110,Bronze
279,2455.93,14 days 00:00:00.000000000,6,4,3,2,432,Platinum
280,6304.709999999999,43 days 00:00:00.000000000,10,3,4,4,344,Gold
281,2233.67,9 days 00:00:00.000000000,4,4,1,2,412,Platinum
282,624.15,69 days 00:00:00.000000000,2,2,1,0,210,Bronze
283,4792.79,91 days 00:00:00.000000000,5,1,2,4,124,Bronze
284,3251.4199999999996,133 days 00:00:00.000000000,5,1,2,3,123,Bronze
285,2626.74,7 days 00:00:00.000000000,6,4,3,2,432,Platinum
286,1954.7,137 days 00:00:00.000000000,4,1,1,2,112,Bronze
287,1408.91,138 days 00:00:00.000000000,1,1,1,0,110,Bronze
289,3924.11,44 days 00:00:00.000000000,9,3,4,3,343,Gold
291,605.01,40 days 00:00:00.000000000,2,3,1,0,310,Silver
292,3631.6000000000004,58 days 00:00:00.000000000,7,2,3,3,233,Silver
293,1991.9300000000003,10 days 00:00:00.000000000,5,4,2,2,422,Platinum
294,5509.67,115 days 00:00:00.000000000,7,1,3,4,134,Bronze
295,4539.9,34 days 00:00:00.000000000,7,3,3,4,334,Gold
297,3599.1800000000003,8 days 00:00:00.000000000,4,4,1,3,413,Platinum
298,4382.48,8 days 00:00:00.000000000,9,4,4,4,444,Platinum
299,6897.919999999999,92 days 00:00:00.000000000,7,1,3,4,134,Bronze
300,3475.8999999999996,156 days 00:00:00.000000000,5,1,2,3,123,Bronze
301,89.71000000000001,93 days 00:00:00.000000000,2,1,1,0,110,Bronze
303,3247.08,43 days 00:00:00.000000000,3,3,1,3,313,Gold
304,2785.04,80 days 00:00:00.000000000,9,2,4,2,242,Silver
305,2229.2799999999997,33 days 00:00:00.000000000,6,3,3,2,332,Gold
306,239.35000000000002,123 days 00:00:00.000000000,2,1,1,0,110,Bronze
307,3660.9499999999994,15 days 00:00:00.000000000,9,4,4,3,443,Platinum
308,4086.21,25 days 00:00:00.000000000,6,3,3,3,333,Gold
309,2208.58,9 days 00:00:00.000000000,4,4,1,2,412,Platinum
310,4744.19,8 days 00:00:00.000000000,7,4,3,4,434,Platinum
311,4054.4800000000005,61 days 00:00:00.000000000,6,2,3,3,233,Silver
312,4570.38,13 days 00:00:00.000000000,5,4,2,4,424,Platinum
313,3186.63,17 days 00:00:00.000000000,6,4,3,3,433,Platinum
314,3200.1500000000005,20 days 00:00:00.000000000,8,3,4,3,343,Gold
315,2200.11,27 days 00:00:00.000000000,9,3,4,2,342,Gold
316,2158.71,11 days 00:00:00.000000000,4,4,1,2,412,Platinum
317,2766.2700000000004,80 days 00:00:00.000000000,4,2,1,2,212,Silver
318,3632.1800000000007,9 days 00:00:00.000000000,7,4,3,3,433,Platinum
320,7204.66,12 days 00:00:00.000000000,10,4,4,4,444,Platinum
321,2006.1799999999998,12 days 00:00:00.000000000,5,4,2,2,422,Platinum
322,10336.77,1 days 00:00:00.000000000,11,4,4,4,444,Platinum
323,2020.7300000000002,35 days 00:00:00.000000000,6,3,3,2,332,Gold
324,1779.6999999999998,21 days 00:00:00.000000000,5,3,2,0,320,Gold
325,4465.08,133 days 00:00:00.000000000,6,1,3,4,134,Bronze
326,1201.2499999999998,161 days 00:00:00.000000000,3,1,1,0,110,Bronze
327,3498.63,16 days 00:00:00.000000000,5,4,2,3,423,Platinum
328,2357.7999999999997,4 days 00:00:00.000000000,8,4,4,2,442,Platinum
329,3618.01,34 days 00:00:00.000000000,6,3,3,3,333,Gold
330,5296.8,107 days 00:00:00.000000000,6,1,3,4,134,Bronze
331,4404.67,82 days 00:00:00.000000000,6,2,3,4,234,Silver
332,239.35000000000002,263 days 00:00:00.000000000,2,1,1,0,110,Bronze
333,3186.7200000000007,22 days 00:00:00.000000000,6,3,3,3,333,Gold
334,2127.59,56 days 00:00:00.000000000,6,2,3,2,232,Silver
335,456.9899999999999,24 days 00:00:00.000000000,2,3,1,0,310,Silver
337,3388.8199999999997,37 days 00:00:00.000000000,6,3,3,3,333,Gold
339,4327.240000000001,58 days 00:00:00.000000000,5,2,2,4,224,Silver
341,955.0799999999999,134 days 00:00:00.000000000,2,1,1,0,110,Bronze
342,468.8599999999999,93 days 00:00:00.000000000,3,1,1,0,110,Bronze
343,5193.5599999999995,103 days 00:00:00.000000000,9,1,4,4,144,Bronze
345,3971.4599999999996,19 days 00:00:00.000000000,7,3,3,3,333,Gold
346,6420.7,12 days 00:00:00.000000000,9,4,4,4,444,Platinum
347,8326.369999999999,59 days 00:00:00.000000000,7,2,3,4,234,Silver
348,2071.99,125 days 00:00:00.000000000,6,1,3,2,132,Bronze
349,1669.26,166 days 00:00:00.000000000,5,1,2,0,120,Bronze
350,1008.7100000000003,4 days 00:00:00.000000000,6,4,3,0,430,Platinum
351,1438.6200000000001,11 days 00:00:00.000000000,2,4,1,0,410,Gold
352,4404.4,25 days 00:00:00.000000000,6,3,3,4,334,Gold
353,6792.83,23 days 00:00:00.000000000,11,3,4,4,344,Gold
354,3101.72,67 days 00:00:00.000000000,6,2,3,3,233,Silver
355,2662.75,45 days 00:00:00.000000000,5,3,2,2,322,Gold
356,2358.0,61 days 00:00:00.000000000,5,2,2,2,222,Silver
357,4455.49,15 days 00:00:00.000000000,8,4,4,4,444,Platinum
358,1405.99,70 days 00:00:00.000000000,2,2,1,0,210,Bronze
359,2921.7599999999998,8 days 00:00:00.000000000,10,4,4,3,443,Platinum
360,5070.23,8 days 00:00:00.000000000,5,4,2,4,424,Platinum
361,3428.1499999999996,146 days 00:00:00.000000000,7,1,3,3,133,Bronze
362,463.02,89 days 00:00:00.000000000,4,1,1,0,110,Bronze
363,9458.169999999998,14 days 00:00:00.000000000,6,4,3,4,434,Platinum
364,3329.97,11 days 00:00:00.000000000,6,4,3,3,433,Platinum
365,4724.040000000001,50 days 00:00:00.000000000,7,2,3,4,234,Silver
366,2692.7,115 days 00:00:00.000000000,6,1,3,2,132,Bronze
367,2022.2000000000003,43 days 00:00:00.000000000,5,3,2,2,322,Gold
369,3931.77,101 days 00:00:00.000000000,8,1,4,3,143,Bronze
371,5004.52,9 days 00:00:00.000000000,5,4,2,4,424,Platinum
372,2598.1300000000006,31 days 00:00:00.000000000,8,3,4,2,342,Gold
373,1103.43,223 days 00:00:00.000000000,1,1,1,0,110,Bronze
374,5271.75,13 days 00:00:00.000000000,6,4,3,4,434,Platinum
375,487.99999999999994,91 days 00:00:00.000000000,4,1,1,0,110,Bronze
376,368.1700000000001,43 days 00:00:00.000000000,3,3,1,0,310,Silver
377,4124.420000000001,6 days 00:00:00.000000000,11,4,4,4,444,Platinum
378,3236.3199999999997,124 days 00:00:00.000000000,7,1,3,3,133,Bronze
380,6196.160000000001,35 days 00:00:00.000000000,8,3,4,4,344,Gold
381,4534.24,2 days 00:00:00.000000000,8,4,4,4,444,Platinum
382,1657.4499999999996,35 days 00:00:00.000000000,7,3,3,0,330,Gold
383,987.4899999999999,51 days 00:00:00.000000000,3,2,1,0,210,Bronze
385,5220.52,78 days 00:00:00.000000000,9,2,4,4,244,Silver
386,2415.9700000000003,66 days 00:00:00.000000000,5,2,2,2,222,Silver
387,3417.7799999999997,31 days 00:00:00.000000000,3,3,1,3,313,Gold
389,2123.26,113 days 00:00:00.000000000,6,1,3,2,132,Bronze
390,869.5600000000001,76 days 00:00:00.000000000,5,2,2,0,220,Silver
392,5025.3099999999995,101 days 00:00:00.000000000,7,1,3,4,134,Bronze
393,866.5799999999999,146 days 00:00:00.000000000,2,1,1,0,110,Bronze
394,5445.46,45 days 00:00:00.000000000,8,3,4,4,344,Gold
395,3528.1899999999996,30 days 00:00:00.000000000,6,3,3,3,333,Gold
396,4647.130000000001,29 days 00:00:00.000000000,6,3,3,4,334,Gold
397,2618.0,45 days 00:00:00.000000000,5,3,2,2,322,Gold
399,5020.5,49 days 00:00:00.000000000,6,2,3,4,234,Silver
400,2688.92,134 days 00:00:00.000000000,5,1,2,2,122,Bronze
401,3643.0299999999997,29 days 00:00:00.000000000,7,3,3,3,333,Gold
402,4965.429999999999,56 days 00:00:00.000000000,6,2,3,4,234,Silver
403,2358.26,56 days 00:00:00.000000000,5,2,2,2,222,Silver
404,4874.55,18 days 00:00:00.000000000,8,4,4,4,444,Platinum
406,3445.0099999999998,106 days 00:00:00.000000000,5,1,2,3,123,Bronze
407,4096.06,9 days 00:00:00.000000000,9,4,4,3,443,Platinum
408,3082.2799999999997,17 days 00:00:00.000000000,5,4,2,3,423,Platinum
409,2267.84,13 days 00:00:00.000000000,4,4,1,2,412,Platinum
410,2177.93,6 days 00:00:00.000000000,7,4,3,2,432,Platinum
411,2553.83,187 days 00:00:00.000000000,5,1,2,2,122,Bronze
413,3822.8,167 days 00:00:00.000000000,5,1,2,3,123,Bronze
414,2304.5599999999995,47 days 00:00:00.000000000,6,2,3,2,232,Silver
415,1490.77,248 days 00:00:00.000000000,2,1,1,0,110,Bronze
416,3085.98,88 days 00:00:00.000000000,5,2,2,3,223,Silver
417,3807.6400000000003,70 days 00:00:00.000000000,7,2,3,3,233,Silver
419,5027.37,14 days 00:00:00.000000000,7,4,3,4,434,Platinum
420,3652.1699999999996,59 days 00:00:00.000000000,10,2,4,3,243,Silver
421,3952.15,56 days 00:00:00.000000000,6,2,3,3,233,Silver
